date,headline,url,categories,summary,vibe,in_top7,source
03-09-2026,Australia 2026 enrolments to fall; India hit by visa refusals,<https://monitor.icef.com/2026/09/australia-decline-in-international-higher-education-commencements-projected-for-2026/>,Destination Countries,"ICEF projects a 4% drop in Australian higher-ed commencements in 2026 with visa rejections concentrated among Indian, Nepali and Bangladeshi applicants.",negative,TRUE,ICEF Monitor
03-09-2026,UK eases Skilled Worker and student visa rules,<https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-584-3-september-2026/statement-of-changes-to-the-immigration-rules-hc-584-3-september-2026-accessible>,Destination Countries,HC 584 lets trafficking-victim skilled workers change employers and expands Erasmus+ study options for Indian workers and students in Britain.,neutral,TRUE,<http://GOV.UK|GOV.UK>
31-07-2026,Indian Workers in UAE Navigate Job Risks as US-Israel War on Iran Intensifies — One in Four UAE Employers Plans Job Cuts in Q3,https://www.thenewsminute.com/news/indian-workers-in-uae-navigate-job-risks-as-us-israel-war-on-iran-intensifies,UAE / India,One in four UAE employers plans job cuts in Q3 as Indian workers navigate job risks amid intensifying US-Israel war on Iran.,negative,TRUE,
31-07-2026,"Iran War Sends Shockwaves Through Gulf Migration — Indian and Asian Migrants Face Layoffs, Salary Cuts up to 50%",https://inkstickmedia.com/gulf-migration/,Gulf / GCC,Indian and Asian migrants face layoffs and salary cuts up to 50% as the Iran war sends shockwaves through Gulf migration.,negative,TRUE,
31-07-2026,"Over 10,000 OFWs Repatriated from Middle East amid Conflict Tensions — Philippines DMW Says Pace Declining But Efforts Ongoing",https://www.gmanetwork.com/news/pinoyabroad/dispatch/994668/over-10-000-ofws-repatriated-as-of-july-amid-middle-east-tensions-dmw/story/,Philippines / Gulf,"Over 10,000 OFWs repatriated from the Middle East amid conflict tensions; DMW says the pace is declining but efforts are ongoing.",negative,TRUE,
31-07-2026,India's MoSPI Launches National Migration Survey 2026 — Year-Long Study (Jul 2026–Jun 2027) to Generate Updated Internal Mobility Data,https://www.sanskritiias.com/current-affairs/national-migration-survey-2026-mapping-internal-mobility-in-india,India,India's MoSPI launches a year-long National Migration Survey 2026 to generate updated internal mobility data.,neutral,TRUE,
31-07-2026,"IOM India & IDC Chandigarh Release PRAYAS Report, Hold Stakeholder Consultation on Safe International Migration Trends",https://www.babushahi.com/full-news.php?id=224154,India,IOM India and IDC Chandigarh release the PRAYAS report and hold a stakeholder consultation on safe international migration trends.,neutral,TRUE,
31-07-2026,Philippines DMW Eyes Stronger Safeguards for OFWs Bound for Uzbekistan as Demand for Foreign Teachers Grows,https://businessmirror.com.ph/2026/07/29/dmw-eyes-stronger-safeguards-for-ofws-bound-for-uzbekistan/,Philippines,Philippines DMW eyes stronger safeguards for OFWs bound for Uzbekistan as demand for foreign teachers grows.,neutral,TRUE,
29-07-2026,"India–UK CETA in Force from 15 July — 20,000 Service Supplier Visas/Year for Indian Professionals; Double Contribution Convention Exempts 3-Year Assignees from Dual Social Security",https://www.business-standard.com/economy/news/india-uk-ceta-comprehensive-economic-and-trade-agreement-import-duty-tariffs-cut-july-15-exports-126071300485_1.html,India / UK,"India-UK CETA enters force from 15 July, offering 20,000 service supplier visas/year for Indian professionals and exempting 3-year assignees from dual social security.",positive,TRUE,
29-07-2026,India and Brazil Sign Labour and Digital Skills Pact at BRICS,https://thenewsmill.com/2026/07/india-and-brazil-agree-to-enhance-cooperation-on-digital-labour-platforms-and-skills/,India / Brazil,India and Brazil sign a labour and digital skills cooperation pact at BRICS.,positive,TRUE,
29-07-2026,New USCIS Memo May Force More Green Card Applicants to Apply from Abroad — Indians in Long Employment Queues Face Consular Processing Risk,https://www.americanimmigrationcouncil.org/blog/green-card-news-uscis-memo/,USA / India,"A new USCIS memo may force more green card applicants to apply from abroad, raising consular processing risk for Indians in long employment queues.",negative,TRUE,
29-07-2026,US DHS Rescinds 2022 Biden Public Charge Rule — Stricter Standard Restored; Broader Denial Risk for Immigrants,https://www.constangy.com/employment-labor-insider/six-in-26-immigration-developments-that-employers-and-international-travelers-need-to-address-now,USA,"US DHS rescinds the 2022 Biden public charge rule, restoring a stricter standard and broader denial risk for immigrants.",negative,TRUE,
29-07-2026,"UK Immigration Rules HC 259 Takes Effect 30 July — Graduate Route, Family Migration, Asylum and Criminality Framework All Amended",https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-259-9-july-2026,UK,"UK Immigration Rules HC 259 takes effect 30 July, amending the Graduate Route, family migration, asylum and criminality framework.",neutral,TRUE,
29-07-2026,"August 2026 US Visa Bulletin — Family Preferences Advance Sharply (F1 +5.5 Months, F2B +7 Months); India EB-2 Remains Unavailable Through September",https://www.boundless.com/blog/boundless-weekly-immigration-news,USA / India,"August 2026 US Visa Bulletin advances family preferences sharply, though India EB-2 remains unavailable through September.",neutral,TRUE,
29-07-2026,South Korea Extends Digital Nomad Visa (F-1-D) to 3 Years — Foreign Remote Workers Employed Abroad 1+ Year Now Eligible for Longer Stay,https://kpmg.com/xx/en/our-insights/gms-flash-alert/2026/flash-alert-2026-080.html,South Korea,South Korea extends its Digital Nomad Visa (F-1-D) to 3 years for foreign remote workers.,positive,TRUE,
29-07-2026,"Australia Finalises Essential Skills Pathway — Aged Care and Labour Agreement Sectors Get Permanent Route; Specialist Skills Salary Threshold Rises to AUD $146,717",https://kpmg.com/xx/en/our-insights/gms-flash-alert/2026/flash-alert-2026-181.html,Australia,"Australia finalises the Essential Skills Pathway, giving aged care and labour agreement sectors a permanent route while raising the Specialist Skills salary threshold.",positive,TRUE,
29-07-2026,Romania Launches WorkinRomania.gov.ro Digital Immigration Portal 8 August — Two New Visa Categories Replace Traditional Work Permit Structure,https://www.travelandtourworld.com/news/article/izdevtcy01mr/,Romania / EU,"Romania launches its WorkinRomania.gov.ro digital immigration portal on 8 August, replacing the traditional work permit structure with two new visa categories.",neutral,TRUE,
29-07-2026,"Japan Raises Visa Issuance Fees Substantially from 1 July — All Categories Affected Including Work, Study and Business",https://www.crownworldmobility.com/insights/immigration-weekly-update-july-16-2026-2/,Japan,"Japan raises visa issuance fees substantially from 1 July across work, study and business categories.",negative,TRUE,
29-07-2026,"Poland Revises Migrant Integration Policy — Selective, Controlled Framework; Ukrainians Lead at 67%, Indian Workers a Growing Cohort",https://home-affairs.ec.europa.eu/news/poland-sees-new-research-and-changes-policies-migrant-integration-2026-07-10_en,Poland / EU,"Poland revises its migrant integration policy toward a selective, controlled framework, with Indian workers a growing cohort.",neutral,TRUE,
27-07-2026,Canada Shuts Door to Sponsoring Parents & Grandparents Indefinitely — IRCC Pauses New PGP Applications Until Further Notice; Indian Families Disproportionately Affected,https://www.cicnews.com/2026/07/canada-shuts-door-to-sponsoring-parents-and-grandparents-for-permanent-residence-0778003.html,Canada,"Canada indefinitely pauses new Parents and Grandparents Program applications, disproportionately affecting Indian families.",negative,TRUE,
27-07-2026,"US DHS Finalises Rule Ending ""Duration of Status"" for F-1, J-1 and I Visa Holders — Fixed 4-Year Admission Cap Replaces Open-Ended Stay; Extensions to Require USCIS Approval from 15 September",https://ogletree.com/insights-resources/blog-posts/dhs-publishes-final-rule-replacing-duration-of-status-with-fixed-admission-periods-for-f-j-and-i-nonimmigrants/,United States / India,"US DHS finalises a rule ending duration of status for F-1, J-1 and I visa holders, replacing it with a fixed 4-year admission cap.",negative,TRUE,
27-07-2026,US Signals Major October Green Card Reset for India — EB-2 May Reopen for Priority Dates Before Jul 2014; EB-5 Unreserved Could Resume for Pre-May 2022 Cases from 1 October,https://www.travelandtourworld.com/news/article/9g3r4rq443go/,United States / India,"US signals a major October green card reset for India, with EB-2 potentially reopening for priority dates before July 2014.",positive,TRUE,
27-07-2026,"US Federal Appeals Court Temporarily Blocks TPS Termination for 300,000 Haitians Through 27 July — Work Permits and Deportation Protections Preserved While Litigation Continues",https://www.boundless.com/blog/boundless-weekly-immigration-news,United States,"A US federal appeals court temporarily blocks TPS termination for 300,000 Haitians through 27 July, preserving work permits during litigation.",neutral,TRUE,
27-07-2026,"Modi Is Exporting India's Workforce to a World Turning Against Immigration — New Bilateral Deals with Russia, Israel, Finland and EU Redirect Indian Labour as US Tightens",https://www.cnbc.com/2026/07/15/modi-export-india-workforce-anti-immigration.html,India / Global,"Modi redirects India's workforce via new bilateral deals with Russia, Israel, Finland and the EU as the US tightens immigration.",positive,TRUE,
27-07-2026,"Philippines Repatriates 10,580+ OFWs from Conflict-Affected Middle East Areas — Numbers Declining from April–May Peak but Repatriation Remains Government Priority",https://www.gmanetwork.com/news/pinoyabroad/dispatch/994668/over-10-000-ofws-repatriated-as-of-july-amid-middle-east-tensions-dmw/story/,Philippines / GCC,"Philippines repatriates over 10,580 OFWs from conflict-affected Middle East areas, with numbers declining from the April-May peak.",neutral,TRUE,
27-07-2026,"South Africa Deports or Repatriates 53,449 Migrants in Crackdown — Government Pledges to Speed Up Removals; Vigilante Groups Warned Against Illegal Searches",https://www.bloomberg.com/news/articles/2026-07-12/south-africa-says-53-449-migrants-returned-or-deported-in-crackdown,South Africa,"South Africa deports or repatriates 53,449 migrants in a crackdown, pledging to speed up removals.",negative,TRUE,
24-07-2026,"PH, Canada Sign First-Ever Federal-Level Bilateral Labor Agreement — Bans Recruitment Fees, Pledges Credential Recognition for Filipino Workers",https://globalnation.inquirer.net/330404/ph-canada-sign-first-federal-level-bilateral-labor-agreement-dmw,Philippines / Canada,Philippines and Canada sign a first-ever federal-level bilateral labor agreement banning recruitment fees for Filipino workers.,positive,TRUE,
24-07-2026,"Canada Sets Record for Deporting Indian Nationals — Indians Account for 32.5% of All Q1 2026 Removals, Largest Single Country Group",https://www.visaverge.com/canada/canada-border-services-agency-removes-record-numbers-of-indians-as-largest-deportee-group/,Canada / India,"Canada sets a record for deporting Indian nationals, who accounted for 32.5% of all Q1 2026 removals.",negative,TRUE,
24-07-2026,Sweden Proposes Work Permits Decoupled from Employer — No Reapplication Needed to Change Jobs; 6-Month Job-Search Safety Net for Laid-Off Workers; Effective Feb 2027,https://www.regeringen.se/pressmeddelanden/2026/07/regeringen-vill-forenkla-processen-for-arbetskraftsinvandrare/,Sweden,"Sweden proposes decoupling work permits from employers, adding a 6-month job-search safety net for laid-off workers.",positive,TRUE,
24-07-2026,New Zealand Expands Pathway Student Visa from 20 July — Secondary Students No Longer Required to Name Tertiary Course; Level 1–4 Qualifications and up to 30 Weeks English Study Now Eligible,https://www.immigration.govt.nz/visas/pathway-student-visa/,New Zealand,"New Zealand expands its Pathway Student Visa from 20 July, easing requirements for secondary students.",positive,TRUE,
24-07-2026,"ICE Nears 600,000 Deportations Since Trump Took Office — Agency Averaging 1,250 Formal Removals per Day Over Past Three Months",https://www.washingtontimes.com/news/2026/jul/23/ice-nears-600000-deportations-since-trump-took-office/,United States,"ICE nears 600,000 deportations since Trump took office, averaging 1,250 formal removals per day.",negative,TRUE,
24-07-2026,Romania Publishes Methodology for New Shortage Occupations List — Framework Identifies Roles Open to Foreign Recruitment Where EU/Romanian Workforce Is Unavailable; List Updated Every Six Months,https://www.crownworldmobility.com/insights/immigration-weekly-update-july-23-2026/,Romania / EU,Romania publishes its methodology for a new shortage occupations list identifying roles open to foreign recruitment.,neutral,TRUE,
24-07-2026,Hungary: Permanent Residence Cards for EEA Family Members Lose Validity by 3 August 2026 — Holders of 2016–2021 Cards Must Apply for New Status Before Deadline,https://oif.gov.hu/news/information-for-holders-of-permanent-residence-cards-issued-between-august-3-2016-and-august-2-2021,Hungary / EU,Hungary's permanent residence cards for EEA family members issued 2016-2021 lose validity by 3 August 2026.,neutral,TRUE,
24-07-2026,Australia Travel Declaration (ATD) Pilot to Expand to Perth and Adelaide — Digital System Gradually Replacing Paper Incoming Passenger Card Across All International Airports,https://www.crownworldmobility.com/insights/immigration-weekly-update-july-23-2026/,Australia,Australia's Travel Declaration pilot expands to Perth and Adelaide as the digital system replaces paper passenger cards.,neutral,TRUE,
23-07-2026,"UK's India Young Professionals Scheme Final 2026 Ballot Opens July 21 — 3,000 Places for 2-Year Work, Study and Travel Visa; Ballot Closes Today",https://www.business-standard.com/immigration/uk-s-india-young-professionals-scheme-ballot-opens-on-july-21-how-it-works-126071600444_1.html,United Kingdom / India,"UK's India Young Professionals Scheme final 2026 ballot opens for 3,000 places on a 2-year work, study and travel visa.",positive,TRUE,
23-07-2026,"Planning to Move to Japan? Residence Permit Fees to Rise from Oct 1 — Renewals Up to ¥75,000; Permanent Residency Jumps 20x to ¥200,000",https://www.business-standard.com/immigration/planning-to-move-to-japan-residence-permit-fees-to-rise-from-oct-1-126072200592_1.html,Japan,"Japan's residence permit fees rise sharply from October 1, with permanent residency fees jumping 20x.",negative,TRUE,
23-07-2026,US Judge Blocks Trump Administration from Stripping Immigrants of Work Permits — Injunction Covers Asylum Seekers and TPS Holders; Ruling Expected by Aug 5,https://www.aljazeera.com/news/2026/7/21/us-judge-blocks-trump-bid-to-strip-work-permits-from-immigrants,United States,"A US judge blocks the Trump administration from stripping immigrants of work permits, covering asylum seekers and TPS holders.",neutral,TRUE,
22-07-2026,"SCOTUS Rules TPS Terminations Are Final — Work Permits for 350,000 Haitian and Syrian Migrants in US Expire 24 July as Courts Prepare Implementing Orders",https://www.klaskolaw.com/scotus-rules-tps-terminations-are-final-an-employers-guide/,United States,"SCOTUS rules TPS terminations are final, with work permits for 350,000 Haitian and Syrian migrants expiring 24 July.",negative,TRUE,
22-07-2026,July 2026 U.S. Visa Bulletin: India EB-2 Green Card Goes Unavailable for Rest of FY 2026; EB-1 Retrogresses — No New Approvals for Indian Professionals Until October,https://newlandchase.com/july-2026-u-s-state-department-visa-bulletin-india-eb-2-becomes-unavailable-as-visa-number-pressure-continues/,United States / India,July 2026 US Visa Bulletin shows India EB-2 unavailable for the rest of FY2026 and EB-1 retrogressing.,negative,TRUE,
22-07-2026,"UK Immigration Update July 2026 — HC 259 Amends 42 Sections of Immigration Rules; Work, Study, Family Visa and Deportation Powers Reshaped; Effective 30 July and 3 August 2026",https://www.clydeco.com/en/insights/2026/07/uk-immigration-update-july-2026,United Kingdom,"UK Immigration Update HC 259 amends 42 sections of immigration rules across work, study, family visa and deportation powers.",neutral,TRUE,
22-07-2026,"South Korea Launches K-STAR Visa Track for STEM Experts — Fast-Track Permanent Residency in 3 Years, Open to Global Researchers and Technology Professionals",https://newlandchase.com/south-korea-launches-k-star-visa-track-for-stem-experts/,South Korea,South Korea launches the K-STAR visa track offering fast-track permanent residency in 3 years for STEM experts.,positive,TRUE,
22-07-2026,"Global Labour Shortages 2026: Japan, Germany, Spain, Greece, South Korea and Italy Turning to Mass Immigration and Regularization to Fill Millions of Vacant Jobs",https://www.visasupdate.com/post/global-labor-shortages-2026-immigration-regularization,Global,"Global labour shortages in 2026 push Japan, Germany, Spain, Greece, South Korea and Italy toward mass immigration and regularization.",neutral,TRUE,
22-07-2026,"South Korea Unveils 2026 Immigration Strategy — 191,000 Worker Quota Set, New Top-Tier STEM Visa Tracks and Regional Worker Pathways Introduced",https://www.visasupdate.com/post/south-korea-2026-immigration-strategy-new-visa-rules,South Korea,"South Korea unveils its 2026 Immigration Strategy, setting a 191,000 worker quota and new STEM visa tracks.",positive,TRUE,
22-07-2026,Australia Finalises Essential Skills Pathway — Permanent Visa Structure for Aged Care and Labour Agreement Sectors Locked In for 2026,https://labourbooking.com/insights/australia-labour-corridors-work-visa.html,Australia,"Australia finalises the Essential Skills Pathway, locking in a permanent visa structure for aged care and labour agreement sectors.",positive,TRUE,
22-07-2026,"Spain's Mass Regularization Scheme: What 500,000 Work Permits Mean for Migrant Mobility Across the EU",https://www.infomigrants.net/en/post/71133/spains-migrant-regularization-scheme-what-it-means-for-mobility-across-the-eu,Spain / EU,"Spain's mass regularization scheme grants 500,000 work permits, reshaping migrant mobility across the EU.",neutral,TRUE,
22-07-2026,"Portugal, Spain, Greece, Italy and Malta Overhaul Digital Nomad Visas in 2026 to Attract Long-Term Remote Workers Across the Schengen Area",https://www.travelandtourworld.com/news/article/portugal-joins-spain-greece-italy-and-malta-overhaul-digital-nomad-visas-and-passport-rules-in-2026-to-attract-long-term-remote-workers-across-the-schengen-area/,Southern Europe,"Portugal, Spain, Greece, Italy and Malta overhaul digital nomad visas in 2026 to attract long-term remote workers.",positive,TRUE,
21-07-2026,EU Talent Pool Regulation (2026/1047) Now in Effect — EU-Wide Digital Platform to Match Non-EU Jobseekers with Employers Across All Member States in Shortage Occupations,https://iuslaboris.com/insights/eu-talent-pool-regulation-new-framework-takes-effect-in-june-2026/,EU,"The EU Talent Pool Regulation is now in effect, launching an EU-wide digital platform matching non-EU jobseekers with employers in shortage occupations.",positive,TRUE,
21-07-2026,"New Zealand Announces Final Changes to Skilled Migrant Category Resident Visa — Two New Pathways Added, Work Experience Requirement Reduced; Effective 24 August 2026",https://www.immigration.govt.nz/about-us/news-centre/further-changes-to-the-skilled-migrant-category-to-come-into-effect-in-august-2026,New Zealand,"New Zealand announces final changes to the Skilled Migrant Category Resident Visa, adding two new pathways and reducing work experience requirements.",positive,TRUE,
21-07-2026,USCIS Reaches FY 2027 H-1B Cap — No Second Lottery; Cap-Subject Window Closed Until March 2027,https://www.uscis.gov/newsroom/alerts/uscis-reaches-fiscal-year-2027-h-1b-cap,United States / India,"USCIS reaches the FY2027 H-1B cap with no second lottery, closing the cap-subject window until March 2027.",negative,TRUE,
21-07-2026,"South Korea Officially Launches Digital Nomad Workation Visa (F-1-D) — 3-Year Stay, Eased Income Requirements",https://www.businesstoday.in/nri/visa/story/south-korea-launches-digital-nomad-visa-3-year-stay-relaxed-income-requirements-heres-who-qualifies-542578-2026-07-13,South Korea,South Korea officially launches its Digital Nomad Workation Visa offering a 3-year stay with eased income requirements.,positive,TRUE,
21-07-2026,"Japan Suspends New Specified Skilled Worker Certificates of Eligibility for Food Service Field — 50,000-Worker Cap Nearing",https://jobsinjapan.com/japan-faq/what-is-changing-in-japans-foreign-hiring-and-visa-rules-in-2026-and-why-it-matters/,Japan,"Japan suspends new Specified Skilled Worker certificates for the food service field as the 50,000-worker cap nears.",negative,TRUE,
21-07-2026,NITI Aayog Flags Critical Skilling Gaps — India Risks Missing Labour Export Opportunity Despite Surging Global Demand,https://theprint.in/india/governance/india-isnt-ready-to-supplement-labour-shortages-abroad-niti-aayog-flags-critical-skilling-gaps/2937433/,India,"NITI Aayog flags critical skilling gaps, warning India risks missing labour export opportunity despite surging global demand.",negative,TRUE,
21-07-2026,"Indonesia Plans to Deploy 500,000 Workers Abroad in 2026 — Targeting Japan, South Korea and Middle East Corridors",https://businesshubasia.com/indonesia-workers-work-overseas-2026/,Indonesia,"Indonesia plans to deploy 500,000 workers abroad in 2026, targeting Japan, South Korea and Middle East corridors.",negative,TRUE,
21-07-2026,Trump Vows Changes to Immigration Crackdown to Protect Migrant Farmers and Hotel Workers Following Industry Pushback,https://www.aol.com/news/trump-vows-changes-immigration-crackdown-164033884.html,United States,Trump vows changes to the immigration crackdown to protect migrant farmers and hotel workers following industry pushback.,neutral,TRUE,
21-07-2026,"Germany Faces Massive Skilled Worker Shortage in 2026 — 300,000 Foreign Workers Needed Annually; 163+ Shortage Occupations Listed",https://www.visasupdate.com/post/germany-skilled-worker-shortage-2026,Germany,"Germany faces a massive skilled worker shortage in 2026, needing 300,000 foreign workers annually.",neutral,TRUE,
21-07-2026,"US DHS Broadens Public Charge Rule — Medicaid, SNAP and Housing Aid to Count Against Green Card Applicants; Effective 18 September 2026",https://thebeatdfw.com/4538103/immigration-updates-july-2026-us-workers/,United States / India,"US DHS broadens the public charge rule so Medicaid, SNAP and housing aid count against green card applicants.",negative,TRUE,
20-07-2026,"Trump Administration Issues Final Rule Ending ""Duration of Status"" for F-1, J-1 Visa Holders — Fixed 4-Year Admission Cap Introduced, Effective 15 Sept 2026",https://www.dhs.gov/,United States,"Trump administration issues a final rule ending duration of status for F-1 and J-1 visa holders, introducing a fixed 4-year admission cap.",negative,TRUE,
20-07-2026,"New USCIS Memo May Force More Green Card Applicants to Apply from Abroad, Causing Chaos and Confusion",https://www.americanimmigrationcouncil.org/blog/green-card-news-uscis-memo/,United States / India,"A new USCIS memo may force more green card applicants to apply from abroad, causing chaos and confusion.",negative,TRUE,
20-07-2026,India to Begin Year-Long National Migration Survey from July 2026 — First Comprehensive Mobility Study Since 2007,https://www.civilsdaily.com/news/govt-to-begin-year-long-national-migration-survey-from-july-2026/,India,"India begins a year-long National Migration Survey from July 2026, its first comprehensive mobility study since 2007.",neutral,TRUE,
20-07-2026,"India Has Signed 28 Migration-Mobility Partnerships, Trusted Pathways Can Contribute to Stronger Economies: Jaishankar",https://ddnews.gov.in/en/india-has-signed-28-migration-and-mobility-pacts-with-26-countries-eam-jaishankar-at-human-mobility-partnership-forum/,India / Global,"Jaishankar says India has signed 28 migration-mobility partnerships, with trusted pathways contributing to stronger economies.",positive,TRUE,
20-07-2026,Canada Proposes Asylum System Reforms — Public Feedback Period Closes 20 July 2026,https://www.spscanada.com/canada-immigration-updates-for-july-2026/,Canada,"Canada proposes asylum system reforms, with the public feedback period closing 20 July 2026.",neutral,TRUE,
20-07-2026,British Columbia Opens New Immigration Pathways for Rural Healthcare Workers — 250 Nominations Available Through 31 August,https://www.barbicanimmigration.ca/post/british-columbia-opens-new-immigration-pathways-for-rural-healthcare-workers,Canada,"British Columbia opens new immigration pathways for rural healthcare workers, with 250 nominations available through 31 August.",positive,TRUE,
20-07-2026,Canada: New Regulations Effective 15 July Strengthen Oversight of Licensed Immigration Consultants,https://www.magellanimmigration.com/blog/canada-immigration-changes-june-2026,Canada,Canada's new regulations effective 15 July strengthen oversight of licensed immigration consultants.,neutral,TRUE,
20-07-2026,Vietnam's Overseas Worker Outflows Decline in H1 2026 Amid Global Labour Market Slowdown,https://en.nhandan.vn/expanding-access-to-high-quality-employment-abroad-post164015.html,Vietnam,Vietnam's overseas worker outflows decline in H1 2026 amid a global labour market slowdown.,positive,TRUE,
20-07-2026,Australia-EU Free Trade Agreement Includes Four-Year Professional Mobility Provisions; Mutual Professional Qualification Recognition,https://www.imidaily.com/asia-pacific/australia-eu-trade-deal-includes-four-year-professional-mobility-provisions/,Australia / EU,The Australia-EU Free Trade Agreement includes four-year professional mobility provisions and mutual qualification recognition.,positive,TRUE,
17-07-2026,"India, Israel Sign 16 MoUs; PM Modi and PM Netanyahu Announce Special Strategic Partnership — Includes 3 Labour Mobility Protocols Enabling Regulated Recruitment of Indian Workers in Commerce, Manufacturing & Restaurants",https://ddnews.gov.in/,India / Israel,India and Israel sign 16 MoUs including 3 labour mobility protocols enabling regulated recruitment of Indian workers.,positive,TRUE,
17-07-2026,India and Brazil Agree to Enhance Cooperation on Digital Labour Platforms and Skills,https://thenewsmill.com/2026/07/india-and-brazil-agree-to-enhance-cooperation-on-digital-labour-platforms-and-skills/,India / Brazil,India and Brazil agree to enhance cooperation on digital labour platforms and skills.,positive,TRUE,
17-07-2026,"India World's Top Receiver of Remittances from Workers Overseas — $137.7B in 2024, First Country to Cross $100B Threshold",https://www.thehawk.in/news/world/india-worlds-top-receiver-of-remittances-from-workers-overseas,India / Global,"India is the world's top receiver of remittances at $137.7B in 2024, the first country to cross the $100B threshold.",positive,TRUE,
